,R,L,cost
640,0.25,0.41,178320.17530712992
641,0.25,0.43,178603.87647630766
642,0.25,0.45,178917.8705982421
643,0.25,0.47,179283.43208089055
644,0.25,0.49,179726.63722250663
645,0.25,0.51,180239.43246293755
646,0.25,0.53,180843.27960923224
647,0.25,0.55,181524.11010255344
648,0.25,0.57,182274.6301413837
649,0.25,0.59,183086.0844760932
650,0.25,0.61,183951.1834389103
651,0.25,0.63,184864.71881082284
652,0.25,0.66,186315.3582881388
653,0.25,0.68,187327.74933793198
654,0.25,0.7,188369.5400213036
655,0.25,0.72,189452.1998304126
656,0.25,0.74,190717.96768274953
657,0.25,0.76,192334.60777173605
658,0.25,0.78,194288.54998437816
659,0.25,0.8,196801.16996309505
660,0.26,0.2,178201.66608841074
661,0.26,0.22,178196.02172813186
662,0.26,0.24,178190.37801398014
663,0.26,0.26,178184.73494500265
664,0.26,0.28,178179.09252051098
665,0.26,0.3,178173.45073576053
666,0.26,0.32,178167.8095753837
667,0.26,0.34,178162.1690745082
668,0.26,0.37,178184.69299230725
669,0.26,0.39,178331.92420099626
670,0.26,0.41,178543.03788144948
671,0.26,0.43,178798.59103882994
672,0.26,0.45,179089.01875071044
673,0.26,0.47,179408.36473704592
674,0.26,0.49,179791.89371130778
675,0.26,0.51,180277.0154852431
676,0.26,0.53,180834.62611321328
677,0.26,0.55,181474.7614604588
678,0.26,0.57,182183.18333578797
679,0.26,0.59,182955.08424055326
680,0.26,0.61,183782.17701770685
681,0.26,0.63,184657.36583582324
682,0.26,0.66,186047.289921618
683,0.26,0.68,187017.09155086218
684,0.26,0.7,188015.25263830554
685,0.26,0.72,189036.760695953
686,0.26,0.74,190106.85871511564
687,0.26,0.76,191418.87043471367
688,0.26,0.78,193082.8647264823
689,0.26,0.8,195152.84256709143
690,0.27,0.2,178618.56467365246
691,0.27,0.22,178612.91958562296
692,0.27,0.24,178607.27513859156
693,0.27,0.26,178601.631331573
694,0.27,0.28,178595.98816359777
695,0.27,0.3,178590.34563127861
696,0.27,0.32,178584.70372813215
697,0.27,0.34,178579.06248414767
698,0.27,0.37,178570.60213729934
699,0.27,0.39,178626.35761011147
700,0.27,0.41,178791.90362942885
701,0.27,0.43,179014.2608144695
702,0.27,0.45,179277.9320282976
703,0.27,0.47,179574.63977850272
704,0.27,0.49,179907.70889651563
705,0.27,0.51,180348.46276597743
706,0.27,0.53,180872.46953043004
707,0.27,0.55,181463.85760918082
708,0.27,0.57,182131.20833845757
709,0.27,0.59,182862.070684008
710,0.27,0.61,183649.8820208178
711,0.27,0.63,184486.99521714557
712,0.27,0.66,185818.2437927781
713,0.27,0.68,186747.42955003507
714,0.27,0.7,187704.1220291241
715,0.27,0.72,188691.06023147903
716,0.27,0.74,189732.77183015892
717,0.27,0.76,190856.90703673556
718,0.27,0.78,192243.44734054222
719,0.27,0.8,193932.29510267547
720,0.28,0.2,179035.470830009
721,0.28,0.22,179029.82504384202
722,0.28,0.24,179024.1798933699
723,0.28,0.26,179018.53537759866
724,0.28,0.28,179012.89149548084
725,0.28,0.3,179007.24824468177
726,0.28,0.32,179001.6056229814
727,0.28,0.34,178995.96365229264
728,0.28,0.37,178987.50205376223
729,0.28,0.39,178981.86164921257
730,0.28,0.41,179073.3802656326
731,0.28,0.43,179254.44085787033
732,0.28,0.45,179486.94966974214
733,0.28,0.47,179758.1520702252
734,0.28,0.49,180079.06977872233
735,0.28,0.51,180458.63417777405
736,0.28,0.53,180942.13115600563
737,0.28,0.55,181495.38449270892
738,0.28,0.57,182116.81213284042
739,0.28,0.59,182805.58372607903
740,0.28,0.61,183553.36538327343
741,0.28,0.63,184351.55851204597
742,0.28,0.66,185625.22035036917
743,0.28,0.68,186515.0408936416
744,0.28,0.7,187461.93851418898
745,0.28,0.72,188457.4496950229
746,0.28,0.74,189484.8559837788
747,0.28,0.76,190534.78958910826
748,0.28,0.78,191680.31135345227
749,0.28,0.8,193112.3670034261
750,0.29,0.2,179452.38445464917
751,0.29,0.22,179446.7380004658
752,0.29,0.24,179441.09217649262
753,0.29,0.26,179435.4469817547
754,0.29,0.28,179429.80241520883
755,0.29,0.3,179424.15847522375
756,0.29,0.32,179418.5151613308
757,0.29,0.34,179412.87248788774
758,0.29,0.37,179404.40973356712
759,0.29,0.39,179398.7685250919
760,0.29,0.41,179401.9811198565
761,0.29,0.43,179524.6155808247
762,0.29,0.45,179719.18865239763
763,0.29,0.47,179963.58497807663
764,0.29,0.49,180268.9689675695
765,0.29,0.51,180623.22386239297
766,0.29,0.53,181044.99557272877
767,0.29,0.55,181561.3542717735
768,0.29,0.57,182138.02010437072
769,0.29,0.59,182785.59333554204
770,0.29,0.61,183491.19902004508
