,R,L,cost
716,0.27,0.74,121252.15958958319
717,0.27,0.76,122199.09560035628
718,0.27,0.78,123214.69243206488
719,0.27,0.8,124288.54056229173
720,0.28,0.2,108695.03493492825
721,0.28,0.22,108783.53135447265
722,0.28,0.24,108912.00328849787
723,0.28,0.26,109081.71000854856
724,0.28,0.28,109293.01678418448
725,0.28,0.3,109543.46801247189
726,0.28,0.32,109829.95403891361
727,0.28,0.34,110150.54209976402
728,0.28,0.37,110691.13380067704
729,0.28,0.39,111087.68244599385
730,0.28,0.41,111512.46476500735
731,0.28,0.43,111963.72840585117
732,0.28,0.45,112435.46112672097
733,0.28,0.47,112922.96827323662
734,0.28,0.49,113439.4898090048
735,0.28,0.51,113985.66064773845
736,0.28,0.53,114560.02578089858
737,0.28,0.55,115159.86291573284
738,0.28,0.57,115784.99465892874
739,0.28,0.59,116435.30079933004
740,0.28,0.61,117110.10875558168
741,0.28,0.63,117810.60678515118
742,0.28,0.66,118911.36528046726
743,0.28,0.68,119741.63083484182
744,0.28,0.7,120639.0992870628
745,0.28,0.72,121592.56940205161
746,0.28,0.74,122596.49254727285
747,0.28,0.76,123648.38212780567
748,0.28,0.78,124738.92915130194
749,0.28,0.8,125869.00039756144
750,0.29,0.2,109430.01301172993
751,0.29,0.22,109516.60945794426
752,0.29,0.24,109642.51972375318
753,0.29,0.26,109809.55387138655
754,0.29,0.28,110018.5195965792
755,0.29,0.3,110267.34862801971
756,0.29,0.32,110553.29707079497
757,0.29,0.34,110874.3072919118
758,0.29,0.37,111416.85371996612
759,0.29,0.39,111805.6139438667
760,0.29,0.41,112227.11622026877
761,0.29,0.43,112680.81606740646
762,0.29,0.45,113162.93353025947
763,0.29,0.47,113672.65832195446
764,0.29,0.49,114208.33947311359
765,0.29,0.51,114768.99418292096
766,0.29,0.53,115355.42678476915
767,0.29,0.55,115963.86810493702
768,0.29,0.57,116592.6015536755
769,0.29,0.59,117299.03679544198
770,0.29,0.61,118070.00755387502
771,0.29,0.63,118894.37596793115
772,0.29,0.66,120220.03285218315
773,0.29,0.68,121161.008594946
774,0.29,0.7,122145.30486353439
775,0.29,0.72,123172.86600658522
